COFRADIA	ESPECIE	MES	data	Año	DIAS TRABA	Nº PERSON	Lonja Kg	Importe	Precio Kg en €	CPUE
A CORUÑA	Saccharina lattissima	7	10/07/2024	2024	1	2	966	579.6	0.6	483
A CORUÑA	Saccharina lattissima	7	17/07/2024	2024	1	2	1,000.00	600	0.6	500
A CORUÑA	Saccharina lattissima	7	30/07/2024	2024	1	2	790	474	0.6	395
A CORUÑA	Saccharina lattissima	7	04/07/2024	2024	1	1	947	568.2	0.6	947
A CORUÑA	Saccharina lattissima	7	09/07/2024	2024	1	1	948	568.8	0.6	948
A CORUÑA	Saccharina lattissima	7	10/07/2024	2024	1	1	966	579.6	0.6	966
A CORUÑA	Saccharina lattissima	7	17/07/2024	2024	1	1	1,000.00	600	0.6	1000
A CORUÑA	Saccharina lattissima	7	30/07/2024	2024	1	1	790	474	0.6	790
A CORUÑA	Saccharina lattissima	7	04/07/2024	2024	1	1	947	568.2	0.6	947
A CORUÑA	Saccharina lattissima	7	09/07/2024	2024	1	1	948	568.8	0.6	948
A CORUÑA	Saccharina lattissima	7	10/07/2024	2024	1	1	966	579.6	0.6	966
A CORUÑA	Saccharina lattissima	7	30/07/2024	2024	1	1	790	474	0.6	790
A GUARDA	Porphyra spp.	6	08/06/2022	2022	1	14	105.8	317.4	3	7.557142857
A GUARDA	Porphyra spp.	6	22/06/2022	2022	1	12	211.9	741.65	3.5	17.65833333
A GUARDA	Porphyra spp.	6	12/06/2023	2023	1	11	211.7	846.8	4	19.24545455
A GUARDA	Porphyra spp.	6	22/06/2023	2023	1	13	442.9	1,771.60	4	34.06923077
A ILLA	Undaria pinnatifida	2	01/02/2022	2022	1	11	2,289.00	1,831.00	0.799912626	208.0909091
A ILLA	Ulva spp.	2	01/02/2022	2022	1	12	1,050.00	1,050.00	1	87.5
A ILLA	Undaria pinnatifida	2	02/02/2022	2022	1	12	2,179.00	1,743.20	0.8	181.5833333
A ILLA	Himanthalia elongata	2	07/02/2022	2022	1	10	761	380.5	0.5	76.1
A ILLA	Undaria pinnatifida	2	07/02/2022	2022	1	11	2,412.00	2,024.00	0.839137645	219.2727273
A ILLA	Ulva spp.	2	07/02/2022	2022	1	7	756	756	1	108
A ILLA	Himanthalia elongata	2	08/02/2022	2022	1	9	1,109.00	569.5	0.513525699	123.2222222
A ILLA	Undaria pinnatifida	2	08/02/2022	2022	1	10	2,607.00	2,209.80	0.847640967	260.7
A ILLA	Gracilaria spp.	2	09/02/2022	2022	1	8	264	264	1	33
A ILLA	Undaria pinnatifida	2	09/02/2022	2022	1	11	2,794.00	2,330.00	0.83392985	254
A ILLA	Ulva spp.	2	09/02/2022	2022	1	8	960	960	1	120
A ILLA	Gracilaria spp.	2	14/02/2022	2022	1	9	588	1,058.40	1.8	65.33333333
A ILLA	Undaria pinnatifida	2	14/02/2022	2022	1	12	2,748.00	2,198.40	0.8	229
A ILLA	Gracilaria spp.	2	15/02/2022	2022	1	9	603	1,085.40	1.8	67
A ILLA	Saccharina lattissima	2	15/02/2022	2022	1	10	240	192	0.8	24
A ILLA	Undaria pinnatifida	2	15/02/2022	2022	1	13	2,745.00	2,252.40	0.820546448	211.1538462
A ILLA	Ulva spp.	2	15/02/2022	2022	1	8	160	176	1.1	20
A ILLA	Gracilaria spp.	2	16/02/2022	2022	1	9	652	1,173.60	1.8	72.44444444
A ILLA	Undaria pinnatifida	2	16/02/2022	2022	1	13	3,685.00	3,150.30	0.854898236	283.4615385
A ILLA	Ulva spp.	2	16/02/2022	2022	1	9	815	815	1	90.55555556
A ILLA	Gracilaria spp.	2	21/02/2022	2022	1	9	910	1,645.00	1.807692308	101.1111111
A ILLA	Undaria pinnatifida	2	21/02/2022	2022	1	12	3,522.00	3,060.00	0.868824532	293.5
A ILLA	Gracilaria spp.	2	22/02/2022	2022	1	9	860	1,548.00	1.8	95.55555556
A ILLA	Undaria pinnatifida	2	22/02/2022	2022	1	12	3,107.00	2,485.60	0.8	258.9166667
A ILLA	Gracilaria spp.	2	23/02/2022	2022	1	9	906	1,630.80	1.8	100.6666667
A ILLA	Saccharina lattissima	2	23/02/2022	2022	1	5	72	57.6	0.8	14.4
A ILLA	Undaria pinnatifida	2	23/02/2022	2022	1	12	3,095.00	2,641.00	0.853311793	257.9166667
A ILLA	Ulva spp.	2	23/02/2022	2022	1	9	918	918	1	102
